n,std_ms,strassen_ms
4,9e-05,9e-05
8,0.00031,0.00031
16,0.00232,0.00235
32,0.01849,0.01833
64,0.18051,0.17917
128,1.88312,1.51817
256,22.9565,10.3931
512,205.332,74.9848
