n,std_ms,strassen_ms
4,9e-05,9e-05
8,0.00028,0.00026
16,0.00193,0.00412
24,0.00712,0.01766
32,0.01851,0.0331
48,0.07179,0.12612
64,0.18212,0.23215
96,0.69909,0.94158
128,1.8588,1.73326
192,6.99943,6.61829
256,23.9065,11.3698
512,200.446,82.1953
