n,std_ms,strassen_ms
4,8e-05,9e-05
8,0.0003,0.00029
16,0.00191,0.00188
32,0.01905,0.01872
64,0.1772,0.20539
128,2.35518,1.52096
256,24.1276,9.31853
512,214.061,64.0412
