n,std_ms,strassen_ms
4,9e-05,0.0001
8,0.00045,0.00039
16,0.00236,0.00236
32,0.01886,0.02509
64,0.18367,0.27275
128,2.12619,1.70782
256,24.3597,10.2732
512,204.27,74.3629
